Symbol,Sector,Price,ADX,RSI,AdaptMom,% EMA200,Volume,Score,Gravity,Zone,🔮Future,🧠CPI,🏛️IET,🐳Whale,Phase/Signals,Signal,Direction,Confidence%,SmartRank,Action,Timeframe,Entry,Stop,Target,Size,WinRate%,R:R,🔥InstConf,ATR Risk,Trend,ATR,VWAP%,VolZ,Signal Reason,🛡️Guard
COMI,BANKS,133.50,30.3,51,-5.0,+25.5%,1.7x,9,🧲 BUILDING,🔴 LATE,0.43,0.48,0.40,0.61,🔴⚠️CLIMAX_SELL,#11 → 🛡️ BLOCKED,📈 BULLISH,49.4%,14.90,WAIT 🛡️,📅 Swing (3-10d),132.83,127.49,142.84,37,⌛ Building,1.9x,🔥 ELITE,⚠️ HIGH,→,4.38,-1.7%,1.1,ADX strong (30) | RSI healthy zone | ⚠️ Climax sell volume,"ATR cap: +162 EGP would bring total to 541 EGP (5.4% of account, max 4%)"
MFPC,ENERGY,36.51,40.1,62,-2.5,+13.5%,0.9x,9,▫️ LIGHT,🔴 LATE,0.33,0.28,0.30,0.39,🔴🔀BEAR_DIV,#12 → 🛡️ BLOCKED,📈 BULLISH,45.8%,14.33,WAIT 🛡️,⚡ Intraday,36.33,34.87,39.07,136,⌛ Building,1.9x,🔥 ELITE,⚠️ HIGH,→,1.50,3.8%,-0.1,ADX strong (40) | RSI healthy zone | Bear vol divergence,"ATR cap: +204 EGP would bring total to 583 EGP (5.8% of account, max 4%)"
ADIB,BANKS,40.70,40.1,58,-6.0,+31.3%,0.4x,9,▫️ LIGHT,🟡 MID,0.43,0.19,0.40,0.11,🔴🧿🔀BEAR_DIV,#13 → 🛡️ BLOCKED,📈 BULLISH,34.9%,12.50,WAIT 🛡️,⚡ Intraday,40.50,38.87,43.55,122,⌛ Building,1.9x,💎 STRONG,⚠️ HIGH,→,2.22,1.5%,-1.5,ADX strong (40) | RSI healthy zone | Bear vol divergence,"ATR cap: +270 EGP would bring total to 650 EGP (6.5% of account, max 4%)"
CIEB,BANKS,22.76,31.5,39,-1.8,+7.7%,0.2x,5,▫️ LIGHT,🔴 LATE,0.29,0.06,0.30,0.33,🔴🔕🔀BEAR_DIV,#14 → 👀 WATCH,⏸️ NEUTRAL,28.2%,11.27,WATCH_ONLY,📅 Swing (3-10d),22.65,21.74,24.35,219,⌛ Building,1.9x,💎 STRONG,🟡 MED,→,0.83,-4.9%,-1.1,ADX strong (31) | Bearish EMA cross | Bear vol divergence,✅ OK
AMOC,INDUSTRIAL,7.11,24.3,48,-2.2,+2.7%,0.7x,6,▫️ LIGHT,🟡 MID,0.29,0.24,0.30,0.28,🔴⚠️CLIMAX_SELL,#15 → 👀 WATCH,⏸️ NEUTRAL,26.9%,11.01,WATCH_ONLY,📆 Position (wks),7.07,6.79,7.61,714,⌛ Building,1.9x,💎 STRONG,⚠️ HIGH,→,0.19,-1.3%,-0.2,RSI healthy zone | ⚠️ Climax sell volume | Weak momentum,✅ OK
PHDC,REAL_ESTATE,9.05,28.8,50,-6.2,+12.4%,0.6x,7,▫️ LIGHT,🟡 MID,0.29,0.23,0.30,0.11,🔴🔵BASE,#16 → 🛡️ BLOCKED,📈 BULLISH,23.9%,10.38,WAIT 🛡️,📅 Swing (3-10d),9.00,8.64,9.68,555,⌛ Building,1.9x,💎 STRONG,⚠️ HIGH,→,0.38,-2.0%,-0.5,RSI healthy zone | Vol base building | Weak momentum,"ATR cap: +210 EGP would bring total to 589 EGP (5.9% of account, max 4%)"
TMGH,REAL_ESTATE,87.10,32.3,48,-7.8,+25.2%,1.4x,7,▫️ LIGHT,🔴 LATE,0.19,0.17,0.35,0.33,🔴⚠️CLIMAX_SELL,#17 → 🛡️ BLOCKED,📈 BULLISH,18.3%,9.01,WAIT 🛡️,📅 Swing (3-10d),86.66,83.18,93.20,57,⌛ Building,1.9x,🧠 GOOD,⚠️ HIGH,→,3.37,-3.5%,0.7,ADX strong (32) | ⚠️ Climax sell volume | Weak momentum,"ATR cap: +192 EGP would bring total to 571 EGP (5.7% of account, max 4%)"
HRHO,SERVICES,27.06,28.4,40,-9.3,+1.6%,0.6x,5,▫️ LIGHT,🔴 LATE,0.10,0.12,0.10,0.11,🔴🔵BASE,#18 → 👀 WATCH,⏸️ NEUTRAL,14.8%,8.00,WAIT,📅 Swing (3-10d),26.92,25.84,28.95,185,—,1.9x,🧠 GOOD,⚠️ HIGH,→,1.09,-9.6%,-0.8,Vol base building | Weak momentum,✅ OK
ORWE,SERVICES,22.75,21.4,47,-3.0,-0.1%,0.4x,3,▫️ LIGHT,🔴 LATE,0.00,0.37,0.85,0.78,🟡🔀BEAR_DIV   🧬,#19 ↓ ❌ SELL,📉 BEARISH,69.5%,18.30,WAIT,📆 Position (wks),22.64,21.95,24.34,289,⌛ Building,2.5x,🔥 ELITE,⚠️ HIGH,→,0.57,-2.9%,-0.6,Accumulation phase | Bear vol divergence | Weak momentum | ⚡ Flow>Tech divergence,✅ OK
JUFO,SERVICES,27.00,25.0,42,-6.8,-1.2%,1.1x,3,▫️ LIGHT,🔴 LATE,0.00,0.33,0.25,0.11,🔴🔵BASE,#20 ↓ ❌ SELL,📉 BEARISH,29.5%,11.51,WATCH_ONLY,📅 Swing (3-10d),26.86,25.79,28.89,186,⌛ Building,1.9x,💎 STRONG,🟡 MED,→,0.96,-8.1%,0.1,Vol base building | Weak momentum | Below EMA200,✅ OK
CNFN,BANKS,4.27,28.6,38,-4.8,-10.0%,1.0x,2,▫️ LIGHT,🔴 LATE,0.00,0.14,0.25,0.11,🔴🔵BASE,#21 ↓ ❌ SELL,📉 BEARISH,17.5%,8.79,WAIT,📅 Swing (3-10d),4.25,4.08,4.57,1176,—,1.9x,🧠 GOOD,🟢 LOW,→,0.14,-5.0%,0.0,Vol base building | Weak momentum | Below EMA200,✅ OK
OCDI,REAL_ESTATE,18.50,26.5,48,-7.5,-35.6%,0.3x,3,▫️ LIGHT,🟡 MID,0.00,0.20,0.30,0.11,🔴🔵BASE,#22 ↓ ❌ SELL,📉 BEARISH,15.5%,8.22,WAIT,📅 Swing (3-10d),18.41,17.67,19.80,270,—,1.9x,🧠 GOOD,⚠️ HIGH,→,1.02,-3.9%,-0.9,RSI healthy zone | Vol base building | Weak momentum,✅ OK
EGTS,SERVICES,7.43,21.5,36,-2.2,-5.2%,0.2x,1,▫️ LIGHT,🔴 LATE,0.00,0.04,0.25,0.28,🔴🔵BASE,#23 ↓ ❌ SELL,📉 BEARISH,14.6%,7.95,WAIT,📆 Position (wks),7.39,7.17,7.95,909,—,2.5x,🧠 GOOD,🟢 LOW,→,0.17,-4.2%,-0.7,Vol base building | Weak momentum | Below EMA200,✅ OK
KZPC,INDUSTRIAL,9.66,18.8,35,-3.5,-6.8%,0.6x,1,▫️ LIGHT,🔴 LATE,0.00,0.09,0.25,0.28,🔴🔵BASE,#24 ↓ ❌ SELL,📉 BEARISH,14.2%,7.81,WAIT,📆 Position (wks),9.61,9.32,10.34,689,—,2.5x,🧠 GOOD,🟢 LOW,→,0.28,-5.2%,-0.6,Vol base building | Weak momentum | Below EMA200,✅ OK
