Symbol,Sector,Price,ADX,RSI,AdaptMom,% EMA200,Volume,Score,Gravity,Zone,🔮Future,🧠CPI,🏛️IET,🐳Whale,Phase/Signals,Signal,Direction,Confidence%,SmartRank,Action,Timeframe,Entry,Stop,Target,Size,WinRate%,R:R,🔥InstConf,ATR Risk,Trend,ATR,VWAP%,VolZ,Signal Reason,🛡️Guard
ISPH,ENERGY,11.31,19.3,44,-2.3,+8.9%,0.5x,4,▫️ LIGHT,🔴 LATE,0.43,0.11,0.45,0.50,🔴⚠️CLIMAX_SELL,#11 → 👀 WATCH,⏸️ NEUTRAL,30.5%,11.71,WAIT,📆 Position (wks),11.25,10.91,12.33,1470,—,3.2x,💎 STRONG,⚠️ HIGH,→,0.55,-8.5%,-0.6,⚠️ Climax sell volume | Weak momentum | 🛡️ DataGuard DEGRADED (56) | 🔄 MomGuard: MOM_NOT_PERSISTENT,✅ OK
TMGH,REAL_ESTATE,78.00,32.3,33,-13.4,+11.3%,1.3x,6,▫️ LIGHT,🔴 LATE,0.10,0.10,0.25,0.33,🔴🔵BASE,#12 → 👀 WATCH,⏸️ NEUTRAL,27.1%,11.04,WATCH_ONLY,📅 Swing (3-10d),77.61,74.49,85.02,160,⌛ Building,2.4x,💎 STRONG,⚠️ HIGH,→,3.90,-14.2%,0.7,ADX strong (32) | RSI oversold | Vol base building | 🛡️ DataGuard DEGRADED (59) | 🔄 MomGuard: MOM_NOT_PERSISTENT,✅ OK
COMI,BANKS,123.90,28.9,39,-8.3,+15.8%,2.0x,7,▫️ LIGHT,🔴 LATE,0.10,0.23,0.10,0.33,🔴⚠️CLIMAX_SELL,#13 → 👁️ WATCH (data quality),📈 BULLISH,21.1%,9.71,WATCH_ONLY,📅 Swing (3-10d),123.28,118.32,135.05,100,⌛ Building,2.4x,💎 STRONG,⚠️ HIGH,→,4.60,-8.8%,1.7,⚠️ Climax sell volume | Weak momentum | 🛡️ DataGuard DEGRADED (55) | 🔄 MomGuard: MOM_NOT_PERSISTENT,✅ OK
PHDC,REAL_ESTATE,8.72,27.9,43,-5.9,+8.0%,0.5x,5,▫️ LIGHT,🔴 LATE,0.10,0.21,0.10,0.11,🔴⚠️CLIMAX_SELL,#14 → 👀 WATCH,⏸️ NEUTRAL,20.8%,9.65,WATCH_ONLY,📅 Swing (3-10d),8.68,8.33,9.50,1428,⌛ Building,2.3x,💎 STRONG,⚠️ HIGH,→,0.42,-6.0%,-0.7,⚠️ Climax sell volume | Weak momentum | 🛡️ DataGuard DEGRADED (59) | 🔄 MomGuard: MOM_NOT_PERSISTENT,✅ OK
ADIB,BANKS,38.50,33.4,48,-5.9,+23.1%,0.6x,7,▫️ LIGHT,🟡 MID,0.19,0.10,0.20,0.11,🔴🔵BASE,#15 → 👁️ WATCH (data quality),📈 BULLISH,20.3%,9.53,WATCH_ONLY,📅 Swing (3-10d),38.31,36.77,41.97,324,⌛ Building,2.4x,💎 STRONG,⚠️ HIGH,→,2.41,-4.9%,-0.9,ADX strong (33) | RSI healthy zone | Vol base building | 🛡️ DataGuard DEGRADED (57) | 🔄 MomGuard: MOM_NOT_PERSISTENT,✅ OK
ETEL,SERVICES,86.60,45.0,48,-6.3,+43.6%,0.8x,4,▫️ LIGHT,🔴 LATE,0.19,0.10,0.20,0.11,🔴🔵BASE,#16 → 👀 WATCH,⏸️ NEUTRAL,17.7%,8.85,WAIT,⚡ Intraday,86.17,82.70,94.39,144,—,2.4x,🧠 GOOD,⚠️ HIGH,→,5.99,-8.4%,-0.4,ADX strong (45) | Vol base building | Weak momentum | 🛡️ DataGuard DEGRADED (55) | 🔄 MomGuard: MOM_NOT_PERSISTENT,✅ OK
KZPC,INDUSTRIAL,10.08,22.7,52,-3.4,-2.5%,0.9x,3,🧲 BUILDING,🟡 MID,0.00,0.38,0.70,1.00,🔴🧿🟢BULL_CONF,#17 ↓ ❌ SELL,📉 BEARISH,78.6%,20.21,WAIT,📆 Position (wks),10.03,9.78,10.99,2000,⌛ Building,3.8x,🔥 ELITE,⚠️ HIGH,→,0.35,-0.6%,-0.1,RSI healthy zone | ✅ Bull vol confirmed | Weak momentum | ⚡ Flow>Tech divergence | 🛡️ DataGuard DEGRADED (54) | 🔄 MomGuard: MOM_NOT_PERSISTENT,✅ OK
HRHO,SERVICES,26.00,29.2,35,-8.7,-2.3%,0.8x,3,▫️ LIGHT,🔴 LATE,0.00,0.10,0.30,0.33,🔴🔕🔵BASE,#18 ↓ ❌ SELL,📉 BEARISH,29.5%,11.51,WATCH_ONLY,📅 Swing (3-10d),25.87,24.83,28.34,480,⌛ Building,2.4x,💎 STRONG,⚠️ HIGH,→,1.17,-13.4%,-0.3,RSI oversold | Bearish EMA cross | Vol base building | 🛡️ DataGuard DEGRADED (59) | 🔄 MomGuard: MOM_NOT_PERSISTENT,✅ OK
JUFO,SERVICES,27.13,27.7,44,-3.7,-0.6%,0.5x,3,▫️ LIGHT,🔴 LATE,0.00,0.28,0.30,0.33,🔴🔕🔀BEAR_DIV,#19 ↓ ❌ SELL,📉 BEARISH,26.0%,10.82,WATCH_ONLY,📅 Swing (3-10d),26.99,25.91,29.57,462,⌛ Building,2.4x,💎 STRONG,🟡 MED,→,1.03,-6.6%,-0.9,Bearish EMA cross | Bear vol divergence | Weak momentum | 🛡️ DataGuard DEGRADED (57) | 🔄 MomGuard: MOM_NOT_PERSISTENT,✅ OK
ORWE,SERVICES,21.90,26.0,39,-3.2,-3.7%,0.4x,2,▫️ LIGHT,🔴 LATE,0.00,0.10,0.10,0.11,🔴🔕🔵BASE,#20 ↓ ❌ SELL,📉 BEARISH,15.3%,8.16,WAIT,📅 Swing (3-10d),21.79,20.91,23.87,568,—,2.4x,🧠 GOOD,⚠️ HIGH,→,0.69,-6.8%,-0.6,Bearish EMA cross | Vol base building | Weak momentum | 🛡️ DataGuard DEGRADED (57) | 🔄 MomGuard: MOM_NOT_PERSISTENT,✅ OK
EGTS,SERVICES,7.13,30.7,29,-7.5,-8.9%,0.4x,2,▫️ LIGHT,🔴 LATE,0.00,0.10,0.10,0.11,🔴🔵BASE,#21 ↓ ❌ SELL,📉 BEARISH,14.8%,8.00,WAIT,📅 Swing (3-10d),7.09,6.81,7.77,1785,—,2.4x,🧠 GOOD,🟡 MED,→,0.22,-8.6%,-0.5,ADX strong (31) | RSI oversold | Vol base building | 🛡️ DataGuard DEGRADED (54) | 🔄 MomGuard: MOM_NOT_PERSISTENT,✅ OK
SWDY,ENERGY,76.66,24.0,44,-3.6,-0.3%,0.3x,2,▫️ LIGHT,🔴 LATE,0.00,0.10,0.10,0.28,🔴🔕⚠️CLIMAX_SELL,#22 ↓ ❌ SELL,📉 BEARISH,14.1%,7.79,WAIT,📆 Position (wks),76.28,73.21,83.56,162,—,2.4x,🧠 GOOD,⚠️ HIGH,→,3.48,-4.1%,-0.7,Bearish EMA cross | ⚠️ Climax sell volume | Weak momentum | 🛡️ DataGuard DEGRADED (57) | 🔄 MomGuard: MOM_NOT_PERSISTENT,✅ OK
OCDI,REAL_ESTATE,17.72,23.9,43,-6.8,-37.7%,0.3x,1,▫️ LIGHT,🔴 LATE,0.00,0.10,0.10,0.28,🔴🔵BASE,#23 ↓ ❌ SELL,📉 BEARISH,12.8%,7.33,WAIT,📆 Position (wks),17.63,16.92,19.31,704,—,2.4x,🧠 GOOD,⚠️ HIGH,→,0.97,-8.7%,-0.9,Vol base building | Weak momentum | Below EMA200 | 🛡️ DataGuard DEGRADED (56) | 🔄 MomGuard: MOM_NOT_PERSISTENT,✅ OK
CNFN,BANKS,3.90,36.1,28,-15.0,-17.4%,0.7x,2,▫️ LIGHT,🔴 LATE,0.00,0.10,0.10,0.11,🔴⚠️CLIMAX_SELL,#24 ↓ ❌ SELL,📉 BEARISH,8.4%,5.46,WAIT,⚡ Intraday,3.88,3.72,4.25,3125,—,2.3x,⚠️ MID,🟡 MED,→,0.17,-13.8%,-0.4,ADX strong (36) | RSI oversold | ⚠️ Climax sell volume | 🛡️ DataGuard DEGRADED (54) | 🔄 MomGuard: MOM_NOT_PERSISTENT,✅ OK
