Symbol,Sector,Price,ADX,RSI,AdaptMom,% EMA200,Volume,Score,Gravity,Zone,🔮Future,🧠CPI,🏛️IET,🐳Whale,Phase/Signals,Signal,Direction,Confidence%,SmartRank,Action,Timeframe,Entry,Stop,Target,Size,WinRate%,R:R,🔥InstConf,ATR Risk,Trend,ATR,VWAP%,VolZ,Signal Reason,🛡️Guard
TMGH,REAL_ESTATE,77.89,34.6,35,-12.1,+10.8%,1.2x,6,▫️ LIGHT,🔴 LATE,0.43,0.26,0.45,0.56,🔴🔕⚠️CLIMAX_SELL,#12 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,11.99,WAIT,📆 Position (wks),77.89,77.89,77.89,1,—,0.0x,—,⚠️ HIGH,→,3.99,-11.0%,0.4, | 📊 Rank too low: 12.0 < 16.8,✅ OK
COMI,BANKS,121.91,32.0,39,-8.5,+13.3%,0.4x,5,▫️ LIGHT,🔴 LATE,0.29,0.18,0.30,0.33,🔴🔵BASE,#13 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,10.90,WAIT,📆 Position (wks),121.91,121.91,121.91,1,—,0.0x,—,⚠️ HIGH,→,5.14,-8.8%,-1.1, | 📊 Rank too low: 10.9 < 16.8,✅ OK
CNFN,BANKS,4.06,39.5,37,-5.8,-13.6%,0.6x,2,▫️ LIGHT,🔴 LATE,0.00,0.26,0.30,0.33,🔴🟢BULL_CONF,#14 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,10.87,WAIT,📆 Position (wks),4.06,4.06,4.06,1,—,0.0x,—,🟡 MED,→,0.17,-8.1%,-0.5, | 📊 Rank too low: 10.9 < 16.8,✅ OK
CIEB,BANKS,21.72,37.2,36,-5.9,+2.5%,0.5x,5,▫️ LIGHT,🔴 LATE,0.29,0.18,0.30,0.33,🔴🟢BULL_CONF,#15 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,10.42,WAIT,📆 Position (wks),21.72,21.72,21.72,1,—,0.0x,—,⚠️ HIGH,→,0.96,-6.8%,-0.7, | 📊 Rank too low: 10.4 < 16.8,✅ OK
EAST,ENERGY,37.89,15.8,41,-5.2,+2.0%,0.4x,3,▫️ LIGHT,🔴 LATE,0.00,0.16,0.25,0.28,🔴🔕🔵BASE,#16 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,9.96,WAIT,📆 Position (wks),37.89,37.89,37.89,1,—,0.0x,—,⚠️ HIGH,→,1.66,-6.9%,-0.5, | 📊 Rank too low: 10.0 < 16.8,✅ OK
ETEL,SERVICES,86.00,37.9,47,-5.6,+40.7%,0.6x,4,▫️ LIGHT,🔴 LATE,0.19,0.19,0.40,0.33,🔴🔵BASE,#17 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,9.41,WAIT,📆 Position (wks),86.00,86.00,86.00,1,—,0.0x,—,⚠️ HIGH,→,3.92,-9.4%,-0.8, | 📊 Rank too low: 9.4 < 16.8,✅ OK
EGTS,SERVICES,7.14,37.6,31,-4.2,-8.5%,0.3x,2,▫️ LIGHT,🔴 LATE,0.00,0.31,0.30,0.33,🔴🔵BASE,#18 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,9.19,WAIT,📆 Position (wks),7.14,7.14,7.14,1,—,0.0x,—,🟡 MED,→,0.21,-6.7%,-0.5, | 📊 Rank too low: 9.2 < 16.8,✅ OK
ADIB,BANKS,37.69,30.8,46,-7.2,+19.5%,1.0x,6,▫️ LIGHT,🔴 LATE,0.14,0.21,0.20,0.33,🔴⚠️CLIMAX_SELL,#19 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,9.13,WAIT,📆 Position (wks),37.69,37.69,37.69,1,—,0.0x,—,⚠️ HIGH,→,2.33,-6.5%,-0.0, | 📊 Rank too low: 9.1 < 16.8,✅ OK
SAUD,BANKS,17.88,29.1,49,-4.2,+21.1%,0.4x,7,▫️ LIGHT,🟡 MID,0.19,0.15,0.20,0.11,🔴⚠️CLIMAX_SELL,#20 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,8.91,WAIT,📆 Position (wks),17.88,17.88,17.88,1,—,0.0x,—,⚠️ HIGH,→,0.69,-3.0%,-0.8, | 📊 Rank too low: 8.9 < 16.8,✅ OK
HRHO,SERVICES,26.01,29.7,36,-5.1,-2.3%,1.0x,3,▫️ LIGHT,🔴 LATE,0.00,0.25,0.30,0.56,🔴🔕⚠️CLIMAX_SELL,#21 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,8.50,WAIT,📆 Position (wks),26.01,26.01,26.01,1,—,0.0x,—,⚠️ HIGH,→,1.10,-11.3%,-0.1, | 📊 Rank too low: 8.5 < 16.8,✅ OK
AMOC,INDUSTRIAL,8.81,25.8,83,+13.1,+26.5%,3.5x,13,🧲 HEAVY,🔴 LATE,0.43,0.53,0.40,0.72,🔵💥🟢BULL_CONF 🐳 Whale  ⚡,#22 → ⛔ WAIT (Sector),⏸️ NEUTRAL,0.0%,0.00,WAIT,📆 Position (wks),8.81,8.81,8.81,1,—,0.0x,—,⚠️ HIGH,→,0.34,14.3%,2.5," | ⛔ Sector blacklisted: INDUSTRIAL (BT: WR<10%, PnL<-25%)",✅ OK
KZPC,INDUSTRIAL,10.50,19.9,60,+4.9,+1.6%,5.0x,18,🧲 HEAVY,🟡 MID,0.43,0.41,0.45,0.72,🔵💥🟢BULL_CONF  🎯 Hunter ⚡,#23 → ⛔ WAIT (Sector),⏸️ NEUTRAL,0.0%,0.00,WAIT,📆 Position (wks),10.50,10.50,10.50,1,—,0.0x,—,⚠️ HIGH,→,0.41,2.4%,4.0," | ⛔ Sector blacklisted: INDUSTRIAL (BT: WR<10%, PnL<-25%)",✅ OK
SKPC,INDUSTRIAL,19.25,23.9,76,+7.9,+4.0%,3.2x,12,🧲 BUILDING,🟡 MID,0.52,0.51,0.50,0.89,🔵💥🔔🟢BULL_CONF 🐳 Whale  ⚡,#24 → ⛔ WAIT (Sector),⏸️ NEUTRAL,0.0%,0.00,WAIT,📆 Position (wks),19.25,19.25,19.25,1,—,0.0x,—,⚠️ HIGH,→,0.81,10.8%,2.8," | ⛔ Sector blacklisted: INDUSTRIAL (BT: WR<10%, PnL<-25%)",✅ OK
