Symbol,Sector,Price,ADX,RSI,AdaptMom,% EMA200,Volume,Score,Gravity,Zone,🔮Future,🧠CPI,🏛️IET,🐳Whale,Phase/Signals,Signal,Direction,Confidence%,SmartRank,Action,Timeframe,Entry,Stop,Target,Size,WinRate%,R:R,🔥InstConf,ATR Risk,Trend,ATR,VWAP%,VolZ,Signal Reason,🛡️Guard
HRHO,SERVICES,26.91,28.8,39,-9.6,+1.1%,0.7x,5,▫️ LIGHT,🔴 LATE,0.33,0.38,0.30,0.39,🔴🔵BASE,#11 → 👀 WATCH,⏸️ NEUTRAL,50.7%,15.11,WATCH_ONLY,📅 Swing (3-10d),26.78,25.70,28.79,185,⌛ Building,1.9x,🔥 ELITE,⚠️ HIGH,→,1.16,-10.0%,-0.6,Vol base building | Weak momentum,✅ OK
ETEL,SERVICES,90.30,49.6,53,-5.2,+50.0%,0.9x,5,▫️ LIGHT,🟡 MID,0.38,0.23,0.40,0.33,🔴🧿👑⚠️CLIMAX_SELL,#12 → 👀 WATCH,⏸️ NEUTRAL,48.1%,14.70,WATCH_ONLY,⚡ Intraday,89.85,86.24,96.62,55,⌛ Building,1.9x,🔥 ELITE,⚠️ HIGH,→,5.86,-2.8%,-0.3,ADX strong (50) | RSI healthy zone | ⚠️ Climax sell volume,✅ OK
FWRY,SERVICES,17.78,38.0,44,-10.1,+21.3%,1.1x,6,▫️ LIGHT,🔴 LATE,0.33,0.42,0.35,0.33,🔴⚠️CLIMAX_SELL,#13 → 👀 WATCH,⏸️ NEUTRAL,46.6%,14.45,WATCH_ONLY,⚡ Intraday,17.69,16.98,19.02,281,⌛ Building,1.9x,🔥 ELITE,⚠️ HIGH,→,0.84,-7.9%,0.1,ADX strong (38) | ⚠️ Climax sell volume | Weak momentum,✅ OK
ADIB,BANKS,39.80,37.5,54,-6.5,+28.1%,0.8x,7,▫️ LIGHT,🟡 MID,0.43,0.23,0.40,0.11,🔴🧿🔵BASE,#14 → 🛡️ BLOCKED,📈 BULLISH,44.9%,14.18,WAIT 🛡️,⚡ Intraday,39.60,38.01,42.59,125,⌛ Building,1.9x,🔥 ELITE,⚠️ HIGH,→,2.37,-1.0%,-0.6,ADX strong (37) | RSI healthy zone | Vol base building,"ATR cap: +296 EGP would bring total to 669 EGP (6.7% of account, max 4%)"
AMOC,INDUSTRIAL,7.03,23.7,45,-2.4,+1.5%,0.6x,4,▫️ LIGHT,🔴 LATE,0.33,0.41,0.30,0.56,🔴⚠️CLIMAX_SELL,#15 → 👀 WATCH,⏸️ NEUTRAL,42.1%,13.73,WATCH_ONLY,📆 Position (wks),6.99,6.71,7.52,714,⌛ Building,1.9x,🔥 ELITE,⚠️ HIGH,→,0.21,-2.4%,-0.3,⚠️ Climax sell volume | Weak momentum,✅ OK
SWDY,ENERGY,75.85,21.0,41,-4.3,-1.4%,1.9x,4,▫️ LIGHT,🔴 LATE,0.48,0.38,0.45,0.50,🔴🔕⚠️CLIMAX_SELL,#16 → 👀 WATCH,⏸️ NEUTRAL,41.4%,13.62,PROBE,📆 Position (wks),75.47,73.20,81.16,88,⌛ Building,2.5x,🔥 ELITE,⚠️ HIGH,→,3.37,-5.3%,0.9,Bearish EMA cross | ⚠️ Climax sell volume | Weak momentum,✅ OK
COMI,BANKS,130.00,29.6,46,-5.2,+21.9%,0.8x,6,▫️ LIGHT,🔴 LATE,0.24,0.44,0.40,0.39,🔴⚠️CLIMAX_SELL,#17 → 👀 WATCH,⏸️ NEUTRAL,35.7%,12.64,WATCH_ONLY,📅 Swing (3-10d),129.35,124.15,139.10,38,⌛ Building,1.9x,💎 STRONG,⚠️ HIGH,→,4.62,-4.4%,-0.4,⚠️ Climax sell volume | Weak momentum,✅ OK
FAIT,BANKS,32.43,19.3,43,-3.0,+2.1%,0.8x,4,▫️ LIGHT,🔴 LATE,0.24,0.26,0.25,0.28,🔴🔵BASE,#18 → 👀 WATCH,⏸️ NEUTRAL,28.3%,11.27,WAIT,📆 Position (wks),32.27,31.29,34.70,204,—,2.5x,💎 STRONG,⚠️ HIGH,→,1.25,-4.5%,-0.3,Vol base building | Weak momentum,✅ OK
EGTS,SERVICES,7.16,24.9,29,-3.9,-8.6%,0.5x,1,▫️ LIGHT,🔴 LATE,0.00,0.30,0.30,0.56,🔴🔵BASE,#19 ↓ ❌ SELL,📉 BEARISH,32.0%,11.98,WATCH_ONLY,📆 Position (wks),7.12,6.84,7.66,714,⌛ Building,1.9x,💎 STRONG,🟡 MED,→,0.22,-8.4%,-0.4,RSI oversold | Vol base building | Weak momentum,✅ OK
ORWE,SERVICES,21.89,23.0,38,-2.3,-3.8%,0.6x,1,▫️ LIGHT,🔴 LATE,0.00,0.26,0.50,0.78,🔴🔕⚠️CLIMAX_SELL,#20 ↓ ❌ SELL,📉 BEARISH,30.8%,11.76,WATCH_ONLY,📆 Position (wks),21.78,21.23,23.42,363,⌛ Building,3.0x,💎 STRONG,⚠️ HIGH,→,0.68,-6.8%,-0.4,Bearish EMA cross | ⚠️ Climax sell volume | Weak momentum,✅ OK
OCDI,REAL_ESTATE,18.10,25.6,45,-6.4,-36.8%,0.4x,2,▫️ LIGHT,🔴 LATE,0.00,0.36,0.50,0.11,🔴🔵BASE,#21 ↓ ❌ SELL,📉 BEARISH,30.0%,11.62,WATCH_ONLY,📅 Swing (3-10d),18.01,17.29,19.37,277,⌛ Building,1.9x,💎 STRONG,⚠️ HIGH,→,1.02,-6.3%,-0.8,Vol base building | Weak momentum | Below EMA200,✅ OK
JUFO,SERVICES,26.50,26.3,39,-6.9,-3.0%,0.7x,3,▫️ LIGHT,🔴 LATE,0.00,0.27,0.50,0.33,🟡⚠️CLIMAX_SELL,#22 ↓ ❌ SELL,📉 BEARISH,24.2%,10.43,WATCH_ONLY,📅 Swing (3-10d),26.37,25.70,28.36,298,⌛ Building,3.0x,💎 STRONG,🟡 MED,→,1.00,-9.8%,-0.5,Accumulation phase | ⚠️ Climax sell volume | Weak momentum,✅ OK
KZPC,INDUSTRIAL,9.30,21.3,28,-5.0,-10.1%,0.4x,1,▫️ LIGHT,🔴 LATE,0.00,0.23,0.45,0.28,🔴🔵BASE,#23 ↓ ❌ SELL,📉 BEARISH,21.3%,9.77,WAIT,📆 Position (wks),9.25,8.97,9.95,714,—,2.5x,💎 STRONG,⚠️ HIGH,→,0.32,-9.1%,-0.8,RSI oversold | Vol base building | Weak momentum,✅ OK
CNFN,BANKS,3.98,31.2,29,-7.7,-16.0%,0.9x,2,▫️ LIGHT,🔴 LATE,0.00,0.28,0.10,0.11,🔴⚠️CLIMAX_SELL,#24 ↓ ❌ SELL,📉 BEARISH,16.7%,8.59,WAIT,📅 Swing (3-10d),3.96,3.80,4.26,1249,—,1.9x,🧠 GOOD,🟡 MED,→,0.16,-12.1%,-0.1,ADX strong (31) | RSI oversold | ⚠️ Climax sell volume,✅ OK
