Symbol,Sector,Price,ADX,RSI,AdaptMom,% EMA200,Volume,Score,Gravity,Zone,🔮Future,🧠CPI,🏛️IET,🐳Whale,Phase/Signals,Signal,Direction,Confidence%,SmartRank,Action,Timeframe,Entry,Stop,Target,Size,WinRate%,R:R,🔥InstConf,ATR Risk,Trend,ATR,VWAP%,VolZ,Signal Reason,🛡️Guard
PHDC,REAL_ESTATE,8.85,27.8,46,-5.1,+9.7%,0.3x,6,▫️ LIGHT,🔴 LATE,0.10,0.25,0.30,0.11,🔴⚠️CLIMAX_SELL,#11 → 👀 WATCH,⏸️ NEUTRAL,34.9%,12.51,WATCH_ONLY,📅 Swing (3-10d),8.81,8.45,9.47,1388,⌛ Building,1.8x,💎 STRONG,⚠️ HIGH,→,0.42,-4.4%,-0.9,⚠️ Climax sell volume | Weak momentum,✅ OK
TMGH,REAL_ESTATE,83.22,31.6,41,-8.9,+19.1%,1.1x,5,▫️ LIGHT,🔴 LATE,0.14,0.31,0.15,0.11,🔴⚠️CLIMAX_SELL,#12 → 👀 WATCH,⏸️ NEUTRAL,33.6%,12.27,WATCH_ONLY,📅 Swing (3-10d),82.80,79.48,89.05,150,⌛ Building,1.9x,💎 STRONG,⚠️ HIGH,→,3.63,-7.8%,0.2,ADX strong (32) | ⚠️ Climax sell volume | Weak momentum,✅ OK
ETEL,SERVICES,88.83,47.4,51,-3.3,+47.9%,0.7x,5,▫️ LIGHT,🟡 MID,0.19,0.11,0.20,0.11,🔴🔵BASE,#13 → 👀 WATCH,⏸️ NEUTRAL,30.2%,11.65,WATCH_ONLY,⚡ Intraday,88.39,84.83,95.05,140,⌛ Building,1.9x,💎 STRONG,⚠️ HIGH,→,5.91,-5.1%,-0.5,ADX strong (47) | RSI healthy zone | Vol base building,✅ OK
ADIB,BANKS,39.99,35.0,55,-5.2,+28.3%,0.4x,7,▫️ LIGHT,🟡 MID,0.19,0.04,0.20,0.11,🔴🔵BASE,#14 → 🛡️ BLOCKED,📈 BULLISH,26.8%,10.98,WAIT 🛡️,📅 Swing (3-10d),39.79,38.19,42.79,312,⌛ Building,1.9x,💎 STRONG,⚠️ HIGH,→,2.38,-0.8%,-1.5,ADX strong (35) | RSI healthy zone | Vol base building,"ATR cap: +744 EGP would bring total to 2395 EGP (4.8% of account, max 4%)"
COMI,BANKS,128.25,28.8,44,-5.7,+20.0%,0.9x,6,▫️ LIGHT,🔴 LATE,0.00,0.28,0.00,0.11,🔴⚠️CLIMAX_SELL,#15 → 👀 WATCH,⏸️ NEUTRAL,25.5%,10.72,WATCH_ONLY,📅 Swing (3-10d),127.61,122.48,137.23,97,⌛ Building,1.9x,💎 STRONG,⚠️ HIGH,→,4.54,-5.8%,-0.2,⚠️ Climax sell volume | Weak momentum,✅ OK
SKPC,INDUSTRIAL,16.45,26.0,52,-2.4,-11.1%,0.7x,3,▫️ LIGHT,🟡 MID,0.00,0.22,0.30,0.11,🔴🔵BASE,#16 ↓ ❌ SELL,📉 BEARISH,52.6%,15.42,WATCH_ONLY,📅 Swing (3-10d),16.37,15.71,17.60,757,⌛ Building,1.9x,🔥 ELITE,⚠️ HIGH,→,0.59,-0.3%,-0.5,RSI healthy zone | Vol base building | Weak momentum,✅ OK
JUFO,SERVICES,26.78,27.5,41,-5.3,-1.9%,0.4x,3,▫️ LIGHT,🔴 LATE,0.00,0.43,0.50,0.61,🔴⚠️CLIMAX_SELL,#17 ↓ ❌ SELL,📉 BEARISH,29.5%,11.51,WATCH_ONLY,📅 Swing (3-10d),26.65,25.98,28.65,746,⌛ Building,3.0x,💎 STRONG,🟡 MED,→,0.99,-8.6%,-1.1,⚠️ Climax sell volume | Weak momentum | Below EMA200,✅ OK
HRHO,SERVICES,26.40,28.8,36,-8.4,-0.8%,0.4x,3,▫️ LIGHT,🔴 LATE,0.00,0.10,0.10,0.11,🔴🔵BASE,#18 ↓ ❌ SELL,📉 BEARISH,26.9%,11.00,WATCH_ONLY,📅 Swing (3-10d),26.27,25.21,28.25,471,⌛ Building,1.9x,💎 STRONG,⚠️ HIGH,→,1.17,-12.2%,-1.3,Vol base building | Weak momentum | Below EMA200,✅ OK
SWDY,ENERGY,76.81,22.5,44,-3.7,-0.1%,0.7x,2,▫️ LIGHT,🔴 LATE,0.00,0.24,0.10,0.28,🔴🔕⚠️CLIMAX_SELL,#19 ↓ ❌ SELL,📉 BEARISH,24.7%,10.53,WATCH_ONLY,📆 Position (wks),76.43,73.35,82.19,162,⌛ Building,1.9x,💎 STRONG,⚠️ HIGH,→,3.46,-3.9%,-0.4,Bearish EMA cross | ⚠️ Climax sell volume | Weak momentum,✅ OK
ORWE,SERVICES,22.00,24.4,40,-2.5,-3.3%,0.3x,1,▫️ LIGHT,🔴 LATE,0.00,0.08,0.30,0.50,🔴🔕⚠️CLIMAX_SELL,#20 ↓ ❌ SELL,📉 BEARISH,22.1%,9.96,WATCH_ONLY,📆 Position (wks),21.89,21.01,23.54,568,⌛ Building,1.9x,💎 STRONG,⚠️ HIGH,→,0.67,-6.3%,-0.7,Bearish EMA cross | ⚠️ Climax sell volume | Weak momentum,✅ OK
EGTS,SERVICES,7.18,27.9,30,-5.7,-8.3%,0.4x,2,▫️ LIGHT,🔴 LATE,0.00,0.10,0.10,0.11,🔴🔵BASE,#21 ↓ ❌ SELL,📉 BEARISH,19.2%,9.25,WATCH_ONLY,📅 Swing (3-10d),7.14,6.86,7.68,1785,⌛ Building,1.9x,💎 STRONG,🟡 MED,→,0.22,-8.0%,-0.5,RSI oversold | Vol base building | Weak momentum,✅ OK
OCDI,REAL_ESTATE,17.93,24.7,44,-5.4,-37.2%,0.3x,1,▫️ LIGHT,🔴 LATE,0.00,0.07,0.10,0.28,🔴🔵BASE,#22 ↓ ❌ SELL,📉 BEARISH,17.3%,8.74,WAIT,📆 Position (wks),17.84,17.12,19.19,694,—,1.9x,🧠 GOOD,⚠️ HIGH,→,1.01,-7.3%,-0.9,Vol base building | Weak momentum | Below EMA200,✅ OK
KZPC,INDUSTRIAL,9.41,23.6,33,-5.4,-9.0%,0.4x,1,▫️ LIGHT,🔴 LATE,0.00,0.09,0.10,0.28,🔴🔵BASE,#23 ↓ ❌ SELL,📉 BEARISH,14.6%,7.94,WAIT,📆 Position (wks),9.36,8.99,10.07,1351,—,1.9x,🧠 GOOD,🟡 MED,→,0.31,-7.7%,-0.8,RSI oversold | Vol base building | Weak momentum,✅ OK
CNFN,BANKS,3.98,33.7,29,-10.6,-15.9%,0.4x,2,▫️ LIGHT,🔴 LATE,0.00,0.10,0.10,0.11,🔴⚠️CLIMAX_SELL,#24 ↓ ❌ SELL,📉 BEARISH,11.0%,6.62,WAIT,📅 Swing (3-10d),3.96,3.80,4.26,3124,—,1.9x,🧠 GOOD,🟡 MED,→,0.16,-12.0%,-0.8,ADX strong (34) | RSI oversold | ⚠️ Climax sell volume,✅ OK
