Symbol,Sector,Price,ADX,RSI,AdaptMom,% EMA200,Volume,Score,Gravity,Zone,🔮Future,🧠CPI,🏛️IET,🐳Whale,Phase/Signals,Signal,Direction,Confidence%,SmartRank,Action,Timeframe,Entry,Stop,Target,Size,WinRate%,R:R,🔥InstConf,ATR Risk,Trend,ATR,VWAP%,VolZ,Signal Reason,🛡️Guard
ISPH,ENERGY,10.82,20.7,38,-3.5,+4.0%,2.4x,6,▫️ LIGHT,🔴 LATE,0.43,0.34,0.45,0.72,🔴🔕⚠️CLIMAX_SELL,#11 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,14.55,WAIT,📆 Position (wks),10.77,10.02,12.41,1,—,2.2x,—,🟡 MED,→,0.53,-10.0%,2.4, | 📊 Rank too low: 14.5 < 16.8,✅ OK
HELI,REAL_ESTATE,5.20,45.5,78,+10.1,-7.7%,0.5x,6,▫️ LIGHT,🟡 MID,0.10,0.24,0.10,0.00,🔵🔀BEAR_DIV,#12 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,14.20,WAIT,📆 Position (wks),5.17,4.79,6.01,1,—,2.2x,—,⚠️ HIGH,→,0.27,13.4%,-0.9, | 📊 Rank too low: 14.2 < 16.8,✅ OK
FWRY,SERVICES,17.48,30.1,43,-2.3,+18.0%,0.8x,5,▫️ LIGHT,🔴 LATE,0.29,0.34,0.30,0.33,🔴⚠️CLIMAX_SELL,#13 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,14.13,WAIT,📆 Position (wks),17.39,16.20,20.04,1,—,2.2x,—,🟡 MED,→,0.85,-8.6%,-0.5, | 📊 Rank too low: 14.1 < 16.8,✅ OK
TMGH,REAL_ESTATE,77.89,34.6,35,-12.1,+10.8%,1.2x,6,▫️ LIGHT,🔴 LATE,0.43,0.26,0.45,0.56,🔴🔕⚠️CLIMAX_SELL,#14 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,12.62,WAIT,📆 Position (wks),77.50,71.90,89.86,1,—,2.2x,—,⚠️ HIGH,→,3.99,-11.0%,0.4, | 📊 Rank too low: 12.6 < 16.8,✅ OK
CNFN,BANKS,4.06,39.5,37,-5.8,-13.6%,0.6x,2,▫️ LIGHT,🔴 LATE,0.00,0.26,0.30,0.33,🔴🟢BULL_CONF,#15 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,10.91,WAIT,📆 Position (wks),4.04,3.81,4.57,1,—,2.3x,—,🟢 LOW,→,0.17,-8.1%,-0.5, | 📊 Rank too low: 10.9 < 16.8,✅ OK
CIEB,BANKS,21.72,37.2,36,-5.9,+2.5%,0.5x,5,▫️ LIGHT,🔴 LATE,0.29,0.18,0.30,0.33,🔴🟢BULL_CONF,#16 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,10.88,WAIT,📆 Position (wks),21.61,20.28,24.61,1,—,2.3x,—,🟡 MED,→,0.96,-6.8%,-0.7, | 📊 Rank too low: 10.9 < 16.8,✅ OK
COMI,BANKS,121.91,32.0,39,-8.5,+13.3%,0.4x,5,▫️ LIGHT,🔴 LATE,0.29,0.18,0.30,0.33,🔴🔵BASE,#17 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,9.68,WAIT,📆 Position (wks),121.30,114.20,137.33,1,—,2.3x,—,⚠️ HIGH,→,5.14,-8.8%,-1.1, | 📊 Rank too low: 9.7 < 16.8,✅ OK
ADIB,BANKS,37.69,30.8,46,-7.2,+19.5%,1.0x,6,▫️ LIGHT,🟡 MID,0.14,0.21,0.20,0.33,🔴⚠️CLIMAX_SELL,#18 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,9.56,WAIT,📆 Position (wks),37.50,34.19,44.69,1,—,2.2x,—,⚠️ HIGH,→,2.33,-6.5%,-0.0, | 📊 Rank too low: 9.6 < 16.8,✅ OK
EAST,ENERGY,37.89,15.8,41,-5.2,+2.0%,0.4x,3,▫️ LIGHT,🔴 LATE,0.00,0.16,0.25,0.28,🔴🔕🔵BASE,#19 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,9.10,WAIT,📆 Position (wks),37.70,35.39,42.88,1,—,2.2x,—,🟡 MED,→,1.66,-6.9%,-0.5, | 📊 Rank too low: 9.1 < 16.8,✅ OK
EGTS,SERVICES,7.14,37.6,31,-4.2,-8.5%,0.3x,2,▫️ LIGHT,🔴 LATE,0.00,0.31,0.30,0.33,🔴🔵BASE,#20 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,8.65,WAIT,📆 Position (wks),7.10,6.83,7.77,1,—,2.5x,—,🟢 LOW,→,0.21,-6.7%,-0.5, | 📊 Rank too low: 8.6 < 16.8,✅ OK
SAUD,BANKS,17.88,29.1,49,-4.2,+21.1%,0.4x,7,▫️ LIGHT,🟡 MID,0.19,0.15,0.20,0.11,🔴⚠️CLIMAX_SELL,#21 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,8.41,WAIT,📆 Position (wks),17.79,16.84,19.96,1,—,2.3x,—,⚠️ HIGH,→,0.69,-3.0%,-0.8, | 📊 Rank too low: 8.4 < 16.8,✅ OK
HRHO,SERVICES,26.01,29.7,36,-5.1,-2.3%,1.0x,3,▫️ LIGHT,🔴 LATE,0.00,0.25,0.30,0.56,🔴🔕⚠️CLIMAX_SELL,#22 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,8.37,WAIT,📆 Position (wks),25.88,24.37,29.30,1,—,2.3x,—,⚠️ HIGH,→,1.10,-11.3%,-0.1, | 📊 Rank too low: 8.4 < 16.8,✅ OK
ETEL,SERVICES,86.00,37.9,47,-5.6,+40.7%,0.6x,4,▫️ LIGHT,🟡 MID,0.19,0.19,0.40,0.33,🔴🔵BASE,#23 → 📊 WAIT (Rank),⏸️ NEUTRAL,0.0%,8.15,WAIT,📆 Position (wks),85.57,80.12,97.75,1,—,2.2x,—,🟡 MED,→,3.92,-9.4%,-0.8, | 📊 Rank too low: 8.2 < 16.8,✅ OK
OCDI,REAL_ESTATE,18.30,20.6,48,-1.0,-34.8%,0.3x,3,▫️ LIGHT,🟢 EARLY,0.00,0.29,0.65,0.50,🔴🧿🔕🟢BULL_CONF,#24 ↓ ❌ SELL,📉 BEARISH,67.8%,17.98,WAIT,📆 Position (wks),18.21,17.66,19.95,181,24%,3.2x,🔥 ELITE,⚠️ HIGH,→,0.99,-6.3%,-0.8,RSI healthy zone | Bearish EMA cross | ✅ Bull vol confirmed | 🛡️ DataGuard DEGRADED (62) | 🔄 MomGuard: MOM_NOT_PERSISTENT,✅ OK
