Symbol,Sector,Price,ADX,RSI,AdaptMom,% EMA200,Volume,Score,Gravity,Zone,🔮Future,🧠CPI,🏛️IET,🐳Whale,Phase/Signals,Signal,Direction,Confidence%,SmartRank,Action,Timeframe,Entry,Stop,Target,Size,WinRate%,R:R,🔥InstConf,ATR Risk,Trend,ATR,VWAP%,VolZ,Signal Reason,🛡️Guard
ETEL,SERVICES,88.83,47.4,51,-3.3,+47.9%,0.7x,5,▫️ LIGHT,🟡 MID,0.19,0.09,0.20,0.11,🔴🔵BASE,#11 → 👀 WATCH,⏸️ NEUTRAL,23.0%,10.18,WATCH_ONLY,⚡ Intraday,88.39,84.83,95.05,28,⌛ Building,1.9x,💎 STRONG,⚠️ HIGH,→,5.91,-5.1%,-0.5,ADX strong (47) | RSI healthy zone | Vol base building,✅ OK
TMGH,REAL_ESTATE,83.22,31.6,41,-8.9,+19.1%,1.1x,5,▫️ LIGHT,🔴 LATE,0.14,0.05,0.15,0.11,🔴⚠️CLIMAX_SELL,#12 → 👀 WATCH,⏸️ NEUTRAL,23.0%,10.16,WATCH_ONLY,📅 Swing (3-10d),82.80,79.48,89.05,30,⌛ Building,1.9x,💎 STRONG,⚠️ HIGH,→,3.63,-7.8%,0.2,ADX strong (32) | ⚠️ Climax sell volume | Weak momentum,✅ OK
CIEB,BANKS,21.55,34.7,31,-4.8,+1.9%,0.5x,5,▫️ LIGHT,🔴 LATE,0.10,0.00,0.10,0.11,🔴🔕🔵BASE,#13 → 👀 WATCH,⏸️ NEUTRAL,20.6%,9.61,WATCH_ONLY,📅 Swing (3-10d),21.44,20.58,23.06,116,⌛ Building,1.9x,💎 STRONG,⚠️ HIGH,→,0.97,-9.7%,-0.7,ADX strong (35) | RSI oversold | Bearish EMA cross,✅ OK
ADIB,BANKS,39.99,35.0,55,-5.2,+28.3%,0.4x,7,▫️ LIGHT,🟡 MID,0.19,0.04,0.20,0.11,🔴🔵BASE,#14 → 🛡️ BLOCKED,📈 BULLISH,18.8%,9.15,WAIT 🛡️,📅 Swing (3-10d),39.79,38.19,42.79,62,⌛ Building,1.9x,💎 STRONG,⚠️ HIGH,→,2.38,-0.8%,-1.5,ADX strong (35) | RSI healthy zone | Vol base building,Sector cap: BANKS already has 3 signal(s) (max 2)
COMI,BANKS,128.25,28.8,44,-5.7,+20.0%,0.9x,6,▫️ LIGHT,🔴 LATE,0.00,0.02,0.00,0.11,🔴⚠️CLIMAX_SELL,#15 → 👀 WATCH,⏸️ NEUTRAL,14.8%,8.00,WAIT,📅 Swing (3-10d),127.61,122.48,137.23,19,—,1.9x,🧠 GOOD,⚠️ HIGH,→,4.54,-5.8%,-0.2,⚠️ Climax sell volume | Weak momentum,✅ OK
SKPC,INDUSTRIAL,16.45,26.0,52,-2.4,-11.1%,0.7x,3,▫️ LIGHT,🟡 MID,0.00,0.28,0.30,0.11,🔴🔵BASE,#16 ↓ ❌ SELL,📉 BEARISH,55.7%,15.91,WATCH_ONLY,📅 Swing (3-10d),16.37,15.71,17.60,151,⌛ Building,1.9x,🔥 ELITE,⚠️ HIGH,→,0.59,-0.3%,-0.5,RSI healthy zone | Vol base building | Weak momentum,✅ OK
JUFO,SERVICES,26.78,27.5,41,-5.3,-1.9%,0.4x,3,▫️ LIGHT,🔴 LATE,0.00,0.45,0.50,0.61,🔴⚠️CLIMAX_SELL,#17 ↓ ❌ SELL,📉 BEARISH,30.5%,11.71,WATCH_ONLY,📅 Swing (3-10d),26.65,25.98,28.65,149,⌛ Building,3.0x,💎 STRONG,🟡 MED,→,0.99,-8.6%,-1.1,⚠️ Climax sell volume | Weak momentum | Below EMA200,✅ OK
SWDY,ENERGY,76.81,22.5,44,-3.7,-0.1%,0.7x,2,▫️ LIGHT,🔴 LATE,0.00,0.19,0.10,0.28,🔴🔕⚠️CLIMAX_SELL,#18 ↓ ❌ SELL,📉 BEARISH,26.2%,10.85,WATCH_ONLY,📆 Position (wks),76.43,73.35,82.19,32,⌛ Building,1.9x,💎 STRONG,⚠️ HIGH,→,3.46,-3.9%,-0.4,Bearish EMA cross | ⚠️ Climax sell volume | Weak momentum,✅ OK
ORWE,SERVICES,22.00,24.4,40,-2.5,-3.3%,0.3x,1,▫️ LIGHT,🔴 LATE,0.00,0.00,0.30,0.50,🔴🔕⚠️CLIMAX_SELL,#19 ↓ ❌ SELL,📉 BEARISH,23.9%,10.38,WATCH_ONLY,📆 Position (wks),21.89,21.01,23.54,113,⌛ Building,1.9x,💎 STRONG,⚠️ HIGH,→,0.67,-6.3%,-0.7,Bearish EMA cross | ⚠️ Climax sell volume | Weak momentum,✅ OK
HRHO,SERVICES,26.40,28.8,36,-8.4,-0.8%,0.4x,3,▫️ LIGHT,🔴 LATE,0.00,0.00,0.10,0.11,🔴🔵BASE,#20 ↓ ❌ SELL,📉 BEARISH,20.2%,9.51,WATCH_ONLY,📅 Swing (3-10d),26.27,25.21,28.25,94,⌛ Building,1.9x,💎 STRONG,⚠️ HIGH,→,1.17,-12.2%,-1.3,Vol base building | Weak momentum | Below EMA200,✅ OK
OCDI,REAL_ESTATE,17.93,24.7,44,-5.4,-37.2%,0.3x,1,▫️ LIGHT,🔴 LATE,0.00,0.06,0.10,0.28,🔴🔵BASE,#21 ↓ ❌ SELL,📉 BEARISH,15.6%,8.23,WAIT,📆 Position (wks),17.84,17.12,19.19,138,—,1.9x,🧠 GOOD,⚠️ HIGH,→,1.01,-7.3%,-0.9,Vol base building | Weak momentum | Below EMA200,✅ OK
KZPC,INDUSTRIAL,9.41,23.6,33,-5.4,-9.0%,0.4x,1,▫️ LIGHT,🔴 LATE,0.00,0.07,0.10,0.28,🔴🔵BASE,#22 ↓ ❌ SELL,📉 BEARISH,13.6%,7.59,WAIT,📆 Position (wks),9.36,8.99,10.07,270,—,1.9x,🧠 GOOD,🟡 MED,→,0.31,-7.7%,-0.8,RSI oversold | Vol base building | Weak momentum,✅ OK
EGTS,SERVICES,7.18,27.9,30,-5.7,-8.3%,0.4x,2,▫️ LIGHT,🔴 LATE,0.00,0.00,0.10,0.11,🔴🔵BASE,#23 ↓ ❌ SELL,📉 BEARISH,11.3%,6.74,WAIT,📅 Swing (3-10d),7.14,6.86,7.68,357,—,1.9x,🧠 GOOD,🟡 MED,→,0.22,-8.0%,-0.5,RSI oversold | Vol base building | Weak momentum,✅ OK
CNFN,BANKS,3.98,33.7,29,-10.6,-15.9%,0.4x,2,▫️ LIGHT,🔴 LATE,0.00,0.00,0.10,0.11,🔴⚠️CLIMAX_SELL,#24 ↓ ❌ SELL,📉 BEARISH,7.5%,4.93,WAIT,📅 Swing (3-10d),3.96,3.80,4.26,624,—,1.9x,⚠️ MID,🟡 MED,→,0.16,-12.0%,-0.8,ADX strong (34) | RSI oversold | ⚠️ Climax sell volume,✅ OK
